FoodCodes	drxfcsd	Main.food.description	Old.Main.food.description	ModCode	FoodID
32131110	EGG OMELET OR SCR EGG, W/ CHEESE, MEAT  OTHER VEG,NS FAT AD	Egg_omelet_or_scrambled_egg_with_cheese_meat_and_vegetables_other_than_dark_green_and_or_tomatoes_NS_as_to_fat_added_in_cooking	Egg omelet or scrambled egg, with cheese, meat, and vegetables other than dark-green and/or tomatoes, NS as to fat added in cooking	0	32131110.0
32131200	EGG OMELET OR SCR EGG, W/POTATOES +/OR ONIONS, FAT ADDED	Egg_omelet_or_scrambled_egg_with_potatoes_and_or_onions_fat_added_in_cooking	Egg omelet or scrambled egg, with potatoes and/or onions, fat added in cooking	0	32131200.0
32131210	EGG OMELET OR SCR EGG, W/POTATOES +/OR ONIONS, FAT NOT ADDED	Egg_omelet_or_scrambled_egg_with_potatoes_and_or_onions_fat_not_added_in_cooking	Egg omelet or scrambled egg, with potatoes and/or onions, fat not added in cooking	0	32131210.0
32131220	EGG OMELET OR SCR EGG, W/POTATOES +/OR ONIONS, NS FAT ADDED	Egg_omelet_or_scrambled_egg_with_potatoes_and_or_onions_NS_as_to_fat_added_in_cooking	Egg omelet or scrambled egg, with potatoes and/or onions, NS as to fat added in cooking	0	32131220.0
32400060	EGG WHITE OMELET, SCRAMBLED, OR FRIED, MADE WITH MARGARINE	Egg_white_omelet_scrambled_or_fried_made_with_margarine	Egg white omelet, scrambled, or fried, made with margarine	0	32400060.0
32400065	EGG WHITE OMELET, SCRAMBLED, OR FRIED, MADE WITH OIL	Egg_white_omelet_scrambled_or_fried_made_with_oil	Egg white omelet, scrambled, or fried, made with oil	0	32400065.0
32400070	EGG WHITE OMELET, SCRAMBLED, OR FRIED, MADE WITH BUTTER	Egg_white_omelet_scrambled_or_fried_made_with_butter	Egg white omelet, scrambled, or fried, made with butter	0	32400070.0
32400075	EGG WHITE OMELET, SCRAMBLED, OR FRIED, MADE WITH COOKING SPR	Egg_white_omelet_scrambled_or_fried_made_with_cooking_spray	Egg white omelet, scrambled, or fried, made with cooking spray	0	32400075.0
32400080	EGG WHITE OMELET, SCRAMBLED, OR FRIED, MADE WITHOUT FAT	Egg_white_omelet_scrambled_or_fried_made_without_fat	Egg white omelet, scrambled, or fried, made without fat	0	32400080.0
32400100	EGG WHITE, OMELET, SCRAMBLED, OR FRIED, W/CHEESE, FAT ADDED	Egg_white_omelet_scrambled_or_fried_with_cheese_fat_added_in_cooking	Egg white, omelet, scrambled, or fried, with cheese, fat added in cooking	0	32400100.0
32400110	EGG WHITE, OMELET, SCRAMBLED, OR FRIED, W/ CHEESE, FAT NOT A	Egg_white_omelet_scrambled_or_fried_with_cheese_fat_not_added_in_cooking	Egg white, omelet, scrambled, or fried, with cheese, fat not added in cooking	0	32400110.0
32400120	EGG WHITE, OMELET, SCRAMBLED, OR FRIED, WITH CHEESE, NS FAT	Egg_white_omelet_scrambled_or_fried_with_cheese_NS_as_to_fat_added_in_cooking	Egg white, omelet, scrambled, or fried, with cheese, NS as to fat added in cooking	0	32400120.0
32400200	EGG WHITE, OMELET, SCRAMBLED, OR FRIED, W/ MEAT, FAT ADDED	Egg_white_omelet_scrambled_or_fried_with_meat_fat_added_in_cooking	Egg white, omelet, scrambled, or fried, with meat, fat added in cooking	0	32400200.0
32400210	EGG WHITE, OMELET, SCRAMBLED, OR FRIED, W/ MEAT, FAT NOT ADD	Egg_white_omelet_scrambled_or_fried_with_meat_fat_not_added_in_cooking	Egg white, omelet, scrambled, or fried, with meat, fat not added in cooking	0	32400210.0
32400300	EGG WHITE, OMELET, SCRAMBLED, OR FRIED, W/ VEGS, FAT ADDED	Egg_white_omelet_scrambled_or_fried_with_vegetables_fat_added_in_cooking	Egg white, omelet, scrambled, or fried, with vegetables, fat added in cooking	0	32400300.0
