Food_code	DR2IGRMS
94000100	240
64100110	155
75311012	91
24152231	33.75
71101000	115
94000100	120
31103010	88
94100100	525
94100100	525
24122131	135
24122131	105
74406010	15.63
94100100	525
73101010	70
83112500	176.25
94100100	525
56202960	195
81101010	7.1
51300110	36
92101000	120
12210400	1.96
91107000	1
94100100	240
51180010	105
42202000	16
94100100	240
21101130	201
92410310	155
63105010	9.13
74101000	11.25
52215100	36
54301100	9
94100100	240
63311000	43.75
92111010	1020
12210420	7.83
91201010	8
53108200	100
94100100	360
92410370	360
92410370	360
92552010	402.5
58104535	142
58163405	182.25
41205017	189.75
93301100	120
93102000	360
13110110	360
94000100	300
92101000	195
53520110	54
58403060	208.25
94000100	525
27243500	183
94000100	525
94000100	525
56203067	485
57117000	72
11112110	305
51101000	112
25230210	112
92511015	496
24147300	255
58146322	750
53209015	55
13110100	360
51157000	73
25230210	280
75113000	17.5
14107030	14.13
94000100	360
53521110	13
91707000	2
51180010	105
14301010	9.67
92101000	240
12210260	30
56205002	244.5
24103020	85
92410310	248
95201000	37
11113000	366
64104600	18.08
94000100	120
94100100	480
51320010	73
25230210	112
83107000	4.58
74101000	60
75113000	8.75
14410110	42
11113000	366
94000100	240
54408035	9
64105400	124
51401010	32
27446200	42.38
74101000	68
13130310	148
94000100	480
92101000	240
11111000	61
91101010	8.33
55101000	200
91300100	39.38
24208510	33
94000100	480
53711000	24
24123120	90
71401020	75
74401010	15
94000100	480
57332100	65
11350000	183
53720210	36
94000100	180
51300050	72
25230210	56
14410110	21
54420220	60
63107010	118
94000100	210
14104250	28.35
56130000	280
27120110	124
14108010	6.25
73101010	120
94000100	240
11000000	NA
11000000	NA
11000000	NA
11000000	NA
11000000	NA
11000000	NA
11000000	NA
11000000	NA
11000000	NA
11000000	NA
92101000	240
12210400	1.96
63101000	182
51161270	58
27510565	95
75113000	8
74101000	15
11511000	496
61210220	248
13135010	68
58160150	112
24124201	120
94100100	253.5
92410310	372
52215200	180
51109010	31
11514100	124
31105010	78
92101000	60
91101010	2.08
94100100	900
26319120	80
71970200	315
92101000	60
91101010	2.08
56203066	315
61201010	62
14010000	17.3
11000000	NA
11000000	NA
64116020	62
94000100	60
73102211	56.7
63137010	56.7
31111010	17
54350010	3.5
63203010	28.35
25230780	28
11000000	NA
64116020	31
94000100	30
73303010	56.7
25230780	28
63101000	85.05
54350010	3.5
57820100	28.35
11000000	NA
54350010	5.25
31111010	17
64116020	62
94000100	60
76409010	70.88
67110000	56.7
25230220	28
53121270	75
24142511	150
58145110	172.5
94000100	345
75302200	75.5
53121270	75
41104000	56.25
